Entity,Code,Year,number_nondem_bmr_owid,number_dem_18_bmr_owid,number_dem_30_bmr_owid,number_dem_60_bmr_owid,number_dem_90_bmr_owid,number_dem_91plus_bmr_owid
Europe,,1882,17,1,1,1,0,0
Europe,,1883,17,1,1,1,0,0
Europe,,1884,17,1,1,1,0,0
Europe,,1885,16,2,1,1,0,0
Europe,,1886,16,2,1,1,0,0
Europe,,1887,16,2,1,1,0,0
Europe,,1888,16,2,1,1,0,0
Europe,,1889,16,1,2,1,0,0
Europe,,1890,15,2,2,1,0,0
Europe,,1891,15,2,2,1,0,0
Europe,,1892,15,2,2,1,0,0
Europe,,1893,15,2,2,1,0,0
Europe,,1894,14,3,1,2,0,0
Europe,,1895,14,3,1,2,0,0
Europe,,1896,14,3,1,2,0,0
Europe,,1897,13,4,1,2,0,0
Europe,,1898,13,4,1,2,0,0
Europe,,1899,13,4,1,2,0,0
Europe,,1900,13,5,1,2,0,0
Europe,,1901,12,6,0,3,0,0
Europe,,1902,12,6,0,3,0,0
Europe,,1903,12,5,1,3,0,0
Europe,,1904,12,5,1,3,0,0
Europe,,1905,12,5,1,3,0,0
Europe,,1906,12,5,1,3,0,0
Europe,,1907,12,5,1,3,0,0
Europe,,1908,12,4,2,2,1,0
Europe,,1909,12,4,2,2,1,0
Europe,,1910,11,4,2,2,1,0
Europe,,1911,10,6,2,2,1,0
Europe,,1912,10,5,3,2,1,0
Europe,,1913,9,5,3,2,1,0
Europe,,1914,10,5,3,2,1,0
Europe,,1915,11,4,3,2,1,0
Europe,,1916,10,4,3,2,1,0
Europe,,1917,11,5,3,2,1,0
Europe,,1918,8,7,4,2,1,0
Europe,,1919,8,9,5,2,1,0
Europe,,1920,8,12,4,3,1,0
Europe,,1921,8,13,4,3,1,0
Europe,,1922,8,13,4,3,1,0
Europe,,1923,8,13,4,3,1,0
Europe,,1924,8,13,3,4,1,0
Europe,,1925,9,13,3,4,1,0
Europe,,1926,11,11,3,4,1,0
Europe,,1927,11,11,2,5,1,0
Europe,,1928,11,11,2,5,1,0
Europe,,1929,12,9,3,5,1,0
Europe,,1930,12,9,2,6,1,0
Europe,,1931,11,10,1,6,2,0
Europe,,1932,11,10,1,6,2,0
Europe,,1933,13,8,1,6,2,0
Europe,,1934,15,6,1,6,2,0
Europe,,1935,15,5,2,6,2,0
Europe,,1936,16,2,4,6,2,0
Europe,,1937,17,1,4,6,2,0
Europe,,1938,16,1,4,6,1,1
Europe,,1939,14,1,3,6,1,1
Europe,,1940,15,0,4,1,0,1
Europe,,1941,11,0,3,2,0,1
Europe,,1942,10,0,3,2,0,1
Europe,,1943,9,0,3,2,0,1
Europe,,1944,6,1,3,2,0,1
Europe,,1945,6,8,3,1,1,1
Europe,,1946,6,11,3,1,1,1
Europe,,1947,8,10,2,2,1,1
Europe,,1948,11,10,1,3,1,1
Europe,,1949,11,11,1,3,1,1
Europe,,1950,11,11,1,3,1,1
Europe,,1951,11,11,1,3,1,1
Europe,,1952,11,11,0,4,1,1
Europe,,1953,11,11,0,4,1,1
Europe,,1954,11,11,0,4,1,1
Europe,,1955,11,11,0,4,1,1
Europe,,1956,11,11,0,4,1,1
Europe,,1957,11,11,0,4,1,1
Europe,,1958,11,11,0,4,1,1
Europe,,1959,11,11,0,4,1,1
Europe,,1960,12,11,0,4,1,1
Europe,,1961,12,11,0,4,1,1
Europe,,1962,12,10,1,4,1,1
Europe,,1963,11,4,7,4,1,1
Europe,,1964,11,2,10,4,1,1
Europe,,1965,12,2,10,4,1,1
Europe,,1966,12,2,10,4,1,1
Europe,,1967,13,1,10,4,1,1
Europe,,1968,13,1,10,4,1,1
Europe,,1969,13,1,10,4,1,1
Europe,,1970,13,1,10,4,1,1
Europe,,1971,13,1,10,3,2,1
Europe,,1972,13,1,10,3,2,1
Europe,,1973,13,1,10,3,2,1
Europe,,1974,11,2,10,3,2,1
Europe,,1975,12,2,4,9,1,2
Europe,,1976,10,4,1,12,1,2
Europe,,1977,9,5,1,11,2,2
Europe,,1978,9,5,1,10,3,2
Europe,,1979,9,5,0,11,3,2
Europe,,1980,9,5,0,11,3,2
Europe,,1981,9,5,0,11,3,2
Europe,,1982,9,4,1,10,4,2
Europe,,1983,9,4,1,10,4,2
Europe,,1984,9,4,1,10,4,2
Europe,,1985,9,4,1,10,4,2
Europe,,1986,9,4,1,10,4,2
Europe,,1987,9,4,1,10,4,2
Europe,,1988,9,4,1,10,4,2
Europe,,1989,8,5,1,10,4,2
Europe,,1990,5,9,1,9,4,2
Europe,,1991,6,17,1,9,4,2
Europe,,1992,3,19,2,9,4,2
Europe,,1993,2,21,2,9,4,2
Europe,,1994,3,20,3,10,4,2
Europe,,1995,3,19,4,10,4,2
Europe,,1996,4,19,4,10,4,2
Europe,,1997,3,20,4,10,4,2
Europe,,1998,3,20,4,10,4,2
Europe,,1999,4,19,4,10,4,2
Europe,,2000,2,21,4,10,4,2
Europe,,2001,2,21,4,10,3,3
Europe,,2002,2,21,4,10,3,3
Europe,,2003,2,21,4,10,3,3
Europe,,2004,2,21,3,11,3,3
Europe,,2005,2,21,3,5,9,3
Europe,,2006,2,22,1,4,12,3
Europe,,2007,2,21,1,5,11,4
Europe,,2008,2,16,6,5,10,5
Europe,,2009,2,9,13,5,10,5
Europe,,2010,2,8,14,5,10,5
Europe,,2011,2,7,15,5,10,5
Europe,,2012,2,6,17,5,9,6
Europe,,2013,2,6,17,5,9,6
Europe,,2014,2,5,18,5,9,6
Europe,,2015,2,4,19,5,9,6
Europe,,2016,2,4,19,5,9,6
Europe,,2017,2,4,19,5,9,6
Europe,,2018,2,2,21,5,9,6
Europe,,2019,2,2,20,6,9,6
Europe,,2020,2,2,15,11,9,6
North America,,1800,0,1,0,0,0,0
North America,,1801,0,1,0,0,0,0
North America,,1802,0,1,0,0,0,0
North America,,1803,0,1,0,0,0,0
North America,,1804,0,1,0,0,0,0
North America,,1805,0,1,0,0,0,0
North America,,1806,0,1,0,0,0,0
North America,,1807,0,1,0,0,0,0
North America,,1808,0,1,0,0,0,0
North America,,1809,0,1,0,0,0,0
North America,,1810,0,1,0,0,0,0
North America,,1811,0,1,0,0,0,0
North America,,1812,0,1,0,0,0,0
North America,,1813,0,1,0,0,0,0
North America,,1814,0,1,0,0,0,0
North America,,1815,0,1,0,0,0,0
North America,,1816,0,1,0,0,0,0
North America,,1817,0,1,0,0,0,0
North America,,1818,0,0,1,0,0,0
North America,,1819,0,0,1,0,0,0
North America,,1820,1,0,1,0,0,0
North America,,1821,1,0,1,0,0,0
North America,,1822,2,0,1,0,0,0
